Date,AMZN,DPZ,BTC,NFLX
2015-03-25,370.959991,97.127304,246.369995,60.25
2015-03-26,367.350006,96.579758,248.020004,59.751427
2015-03-27,370.559998,97.069679,247.210007,59.252857
2015-03-30,374.589996,98.510605,244.149994,60.367142
2015-03-31,372.100006,96.589371,246.240005,59.527142
2015-04-01,370.26001,96.541328,252.600006,59.017143
2015-04-02,372.25,97.012039,254.479996,59.154285
2015-04-06,377.040009,96.839119,252.970001,60.330002
2015-04-07,374.410004,95.47506,244.570007,60.494286
2015-04-08,381.200012,96.339607,243.320007,63.049999
2015-04-09,383.540009,95.292526,234.729996,62.785713
2015-04-10,382.649994,96.541328,236.479996,64.938568
2015-04-13,382.359985,96.253143,217.990005,67.811432
2015-04-14,385.109985,94.610504,222.970001,68.387146
2015-04-15,383.450012,94.485634,227.979996,67.922859
2015-04-16,386.040009,96.474083,222.589996,80.292854
2015-04-17,375.559998,95.330971,223.350006,81.650002
2015-04-20,389.51001,95.734406,233.729996,81.055717
2015-04-21,391.179993,95.484665,233.779999,80.062859
2015-04-22,389.799988,95.868927,235.399994,79.668571
2015-04-23,389.98999,104.92746,231.089996,79.865715
2015-04-24,445.100006,109.471146,226.139999,79.771431
2015-04-27,438.559998,105.907295,225.809998,80.868568
2015-04-28,429.309998,107.386612,225.419998,80.437141
2015-04-29,429.369995,105.081154,235.770004,80.407143
2015-04-30,421.779999,103.601807,233.210007,79.5
2015-05-01,422.869995,104.07251,235.339996,79.575714
2015-05-04,423.040009,103.67868,235.820007,79.271431
2015-05-05,421.190002,101.546112,230.029999,80.792854
2015-05-06,419.100006,101.949562,237.729996,80.077141
2015-05-07,426.880005,103.67868,243.740005,80.748573
2015-05-08,433.690002,104.831398,241.399994,82.085716
2015-05-11,432.850006,105.51342,241.580002,84.278572
2015-05-12,431.019989,104.76416,236.380005,83.377144
2015-05-13,426.869995,104.399132,236.899994,82.872856
2015-05-14,432.279999,105.580681,237.199997,83.835716
2015-05-15,426.0,105.993752,236.229996,87.60714
2015-05-18,425.23999,106.714172,232.020004,88.267143
